group,country_code,name,overall,confidence,source_url,source_name
C,BRA,Igor Thiago,75,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/igor-thiago/275771,
C,HAI,Johny Placide,69,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/johny-placide/178363,
C,HAI,Carlens Arcus,71,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carlens-arcus/228591,
C,HAI,Hannes Delcroix,71,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hannes-delcroix/237440,
C,HAI,Derrick Etienne Jr.,66,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/derrick-etienne-jr/166539,
C,HAI,Martin Expérience,62,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-experience/78651,
C,HAI,Jean-Ricner Bellegarde,75,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jean-ricner-bellegarde/235456,
C,HAI,Louicius Deedson,65,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/don-deedson-louicius/252416,
C,HAI,Lenny Joseph,68,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lenny-joseph/262652,
C,HAI,Danley Jean Jacques,70,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/danley-jean-jacques/268805,
C,HAI,Wilson Isidor,72,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wilson-isidor/247335,
C,HAI,Frantzdy Pierrot,72,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frantzdy-pierrot/244949,
C,HAI,Josué Casimir,71,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/josue-casimir/260943,
C,HAI,Jean-Kévin Duverne,71,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jean-kevin-duverne/229705,
C,HAI,Wilguens Paugain,55,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wilguens-paugain/78421,
C,MAR,Yassine Bounou,82,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yassine-bounou/209981,
C,MAR,Achraf Hakimi,89,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/achraf-hakimi/235212,
C,MAR,Noussair Mazraoui,80,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/noussair-mazraoui/236401,
C,MAR,Sofyan Amrabat,78,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sofyan-amrabat/224158,
C,MAR,Nayef Aguerd,81,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nayef-aguerd/244749,
C,MAR,Ayyoub Bouaddi,75,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ayyoub-bouaddi/278901,
C,MAR,Chemsdine Talbi,73,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chemsdine-talbi/275048,
C,MAR,Azzedine Ounahi,76,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/azzedine-ounahi/255125,
C,MAR,Soufiane Rahimi,78,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/soufiane-rahimi/264348,
C,MAR,Brahim Díaz,82,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/brahim/231410,
C,MAR,Ismael Saibari,79,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ismael-saibari/259480,
C,MAR,Zakaria El Ouahdi,76,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/zakaria-el-ouahdi/275353,
C,MAR,Issa Diop,76,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/issa-diop/231633,
C,MAR,Samir El Mourabet,65,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/samir-el-mourabet/279702,
C,MAR,Gessime Yassine,65,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gessime-yassine/70017,
C,MAR,Abde Ezzalzouli,77,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/abdessamad-ezzalzouli/264432,
C,MAR,Chadi Riad,72,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chadi-riad/258490,
C,MAR,Ayoub El Kaabi,80,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ayoub-el-kaabi/243586,
C,MAR,Ayoube Amaimouni,63,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ayoube-amaimouni/78474,
C,MAR,Bilal El Khannouss,76,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bilal-el-khannouss/257504,
C,MAR,Neil El Aynaoui,77,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/neil-el-aynaoui/262745,
C,MAR,Redouane Halhal,63,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/redouane-halhal/264657,
C,MAR,Anass Salah-Eddine,71,medium,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/anass-salah-eddine/268728,
C,SCO,Angus Gunn,72,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/angus-gunn/216325,
C,SCO,Aaron Hickey,74,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aaron-hickey/248808,
C,SCO,Andy Robertson,82,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andrew-robertson/216267,
C,SCO,Scott McTominay,85,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/scott-mctominay/237238,
C,SCO,Grant Hanley,71,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/grant-hanley/198904,
C,SCO,Kieran Tierney,77,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kieran-tierney/226491,
C,SCO,John McGinn,81,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/john-mcginn/210881,
C,SCO,Lyndon Dykes,68,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lyndon-dykes/247279,
C,SCO,Ché Adams,77,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/che-adams/226093,
C,SCO,Ryan Christie,79,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ryan-christie/213884,
C,SCO,Liam Kelly,67,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/liam-kelly/225203,
C,SCO,Jack Hendry,74,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jack-hendry/225316,
C,SCO,Ross Stewart,71,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ross-stewart/244319,
